41	41	Скворцов	Дмитрий	Николаевич	30.12.1984	22.01.1998	99996705	4	66666100036	3	0
42	42	Зайцев	Петр	Александрович	31.12.1984	23.01.1998	99996706	5	66666100037	3	0
43	43	Иванов	Николай	Алексеевич	01.01.1985	24.01.1998	99996707	5	66666100038	3	0
44	44	Петров	Евгений	Дмитриевич	02.01.1985	25.01.1998	99996708	5	66666100039	3	0
45	45	Сидоров	Михаил	Михайлович	03.01.1985	26.01.1998	99996709	5	66666100040	3	0
46	46	Соколов	Вадим	Петрович	04.01.1985	27.01.1998	99996710	5	66666100041	3	0
47	47	Михалов	Сергей	Валерьевич	05.01.1985	28.01.1998	99996711	5	66666100042	3	0
48	48	Никифорорв	Алексей	Андреевич	06.01.1985	29.01.1998	99996712	5	66666100043	3	0
49	49	Неретин	Александр	Сергеевич	07.01.1985	30.01.1998	99996713	5	66666100044	3	0
50	50	Попов	Дмитрий	Николаевич	08.01.1985	31.01.1998	99996714	5	66666100045	3	0
51	51	Скворцов	Петр	Александрович	09.01.1985	01.02.1998	99996715	5	66666100046	3	0
52	52	Зайцев	Николай	Алексеевич	10.01.1985	02.02.1998	99996716	5	66666100047	3	0
53	53	Иванов	Евгений	Дмитриевич	11.01.1985	03.02.1998	99996717	5	66666100048	3	0
54	54	Петров	Михаил	Михайлович	12.01.1985	27.01.1998	99996718	5	66666100049	3	0
55	55	Сидоров	Вадим	Петрович	13.01.1985	28.01.1998	99996719	5	66666100050	3	0
56	56	Соколов	Сергей	Валерьевич	14.01.1985	29.01.1998	99996720	5	66666100051	3	0
57	57	Михалов	Алексей	Андреевич	15.01.1985	30.01.1998	99996721	5	66666100052	3	0
58	58	Никифорорв	Александр	Сергеевич	16.01.1985	31.01.1998	99996722	5	66666100053	3	0
59	59	Неретин	Дмитрий	Николаевич	28.12.1984	01.02.1998	99996723	5	66666100054	3	0
60	60	Попов	Вадим	Александрович	29.12.1984	02.02.1998	99996724	5	66666100055	3	0
61	61	Скворцов	Сергей	Сергеевич	30.12.1984	03.02.1998	99996725	5	66666100056	3	0
62	62	Неретин	Алексей	Николаевич	31.12.1984	27.01.1998	99996726	6	66666100057	3	0
63	63	Попов	Александр	Александрович	01.01.1985	28.01.1998	99996727	6	66666100058	3	0
64	64	Скворцов	Дмитрий	Алексеевич	02.01.1985	29.01.1998	99996728	6	66666100059	3	0
65	65	Зайцев	Петр	Дмитриевич	03.01.1985	30.01.1998	99996729	6	66666100060	3	0
66	66	Иванов	Николай	Михайлович	04.01.1985	31.01.1998	99996730	6	66666100061	3	0
67	67	Петров	Евгений	Петрович	05.01.1985	01.02.1998	99996731	6	66666100062	3	0
68	68	Сидоров	Михаил	Валерьевич	06.01.1985	02.02.1998	99996732	6	66666100063	3	0
69	69	Соколов	Вадим	Андреевич	07.01.1985	03.02.1998	99996733	6	66666100064	3	0
70	70	Михалов	Сергей	Сергеевич	08.01.1985	27.01.1998	99996734	6	66666100065	3	0
71	71	Никифорорв	Вадим	Николаевич	09.01.1985	28.01.1998	99996735	6	66666100066	3	0
72	72	Неретин	Сергей	Александрович	10.01.1985	29.01.1998	99996736	6	66666100067	3	0
73	73	Никифорорв	Алексей	Сергеевич	11.01.1985	30.01.1998	99996737	6	66666100068	3	0
74	74	Неретин	Александр	Николаевич	28.12.1984	31.01.1998	99996738	6	66666100069	3	0
75	75	Скворцов	Вадим	Александрович	29.12.1984	01.02.1998	99996739	6	66666100070	3	0
76	76	Неретин	Сергей	Алексеевич	30.12.1984	02.02.1998	99996740	6	66666100071	3	0
77	77	Попов	Вадим	Дмитриевич	31.12.1984	03.02.1998	99996741	6	66666100072	3	0
78	78	Скворцов	Сергей	Михайлович	01.01.1985	27.01.1998	99996742	6	66666100073	3	0
79	79	Зайцев	Алексей	Петрович	02.01.1985	28.01.1998	99996743	7	66666100074	3	0
80	80	Иванов	Александр	Валерьевич	03.01.1985	29.01.1998	99996744	7	66666100075	3	0
81	81	Петров	Вадим	Андреевич	04.01.1985	30.01.1998	99996745	7	66666100076	3	0
82	82	Сидоров	Сергей	Сергеевич	05.01.1985	31.01.1998	99996746	7	66666100077	3	0
83	83	Соколов	Алексей	Николаевич	06.01.1985	01.02.1998	99996747	8	66666100078	3	0
84	84	Михалов	Александр	Александрович	07.01.1985	02.02.1998	99996748	8	66666100079	3	0
85	85	Никифорорв	Вадим	Сергеевич	08.01.1985	03.02.1998	99996749	8	66666100080	3	0
86	86	Неретин	Сергей	Николаевич	09.01.1985	27.01.1998	99996750	8	66666100081	3	0
87	87	Никифорорв	Вадим	Александрович	10.01.1985	28.01.1998	99996751	9	66666100082	3	0
88	88	Неретин	Сергей	Сергеевич	11.01.1985	29.01.1998	99996752	9	66666100083	3	0
89	89	Зайцев	Алексей	Николаевич	07.01.1985	30.01.1998	99996753	9	66666100084	4	0
90	90	Иванов	Александр	Александрович	08.01.1985	31.01.1998	99996754	9	66666100085	4	0
91	91	Петров	Вадим	Алексеевич	09.01.1985	01.02.1998	99996755	10	66666100086	4	0
92	92	Сидоров	Сергей	Дмитриевич	10.01.1985	02.02.1998	99996756	10	66666100087	4	0
93	93	Соколов	Вадим	Михайлович	11.01.1985	03.02.1998	99996757	10	66666100088	5	0
94	94	Михалов	Сергей	Петрович	28.12.1984	27.01.1998	99996758	10	66666100089	5	0
95	95	Никифорорва	Екатерина	Валерьевна	29.12.1984	28.01.1998	99996759	11	66666100090	5	0
96	96	Неретина	Олеся	Андреевна	30.12.1984	29.01.1998	99996760	12	66666100091	5	0
97	97	Никифорорва	Евгения	Сергеевна	31.12.1984	30.01.1998	99996761	12	66666100092	5	0
98	98	Неретина	Ольга	Николаевна	07.01.1985	31.01.1998	99996762	13	66666100093	5	0
99	99	Сидорова	Настя	Валерьевна	08.01.1985	01.02.1998	99996763	13	66666100094	5	0
100	100	Иванова	Арина	Андреевна	09.01.1985	02.02.1998	99996764	1	66666100095	4	0
